	RowInd	ColInd	GridLat	GridLong
co25926	6.0	6.0	89.45833587646484	-179.4583282470703
co25938	6.0	18.0	89.45833587646484	-178.4583282470703
co25950	6.0	30.0	89.45833587646484	-177.4583282470703
co25962	6.0	42.0	89.45833587646484	-176.4583282470703
co25974	6.0	54.0	89.45833587646484	-175.4583282470703
co25986	6.0	66.0	89.45833587646484	-174.4583282470703
co25998	6.0	78.0	89.45833587646484	-173.4583282470703
co26010	6.0	90.0	89.45833587646484	-172.4583282470703
co26022	6.0	102.0	89.45833587646484	-171.4583282470703
co26034	6.0	114.0	89.45833587646484	-170.4583282470703
co26046	6.0	126.0	89.45833587646484	-169.4583282470703
co26058	6.0	138.0	89.45833587646484	-168.4583282470703
co26070	6.0	150.0	89.45833587646484	-167.4583282470703
co26082	6.0	162.0	89.45833587646484	-166.4583282470703
co26094	6.0	174.0	89.45833587646484	-165.4583282470703
co26106	6.0	186.0	89.45833587646484	-164.4583282470703
co26118	6.0	198.0	89.45833587646484	-163.4583282470703
co26130	6.0	210.0	89.45833587646484	-162.4583282470703
co26142	6.0	222.0	89.45833587646484	-161.4583282470703
co26154	6.0	234.0	89.45833587646484	-160.4583282470703
co26166	6.0	246.0	89.45833587646484	-159.4583282470703
co26178	6.0	258.0	89.45833587646484	-158.4583282470703
co26190	6.0	270.0	89.45833587646484	-157.4583282470703
co26202	6.0	282.0	89.45833587646484	-156.4583282470703
co26214	6.0	294.0	89.45833587646484	-155.4583282470703
co26226	6.0	306.0	89.45833587646484	-154.4583282470703
co26238	6.0	318.0	89.45833587646484	-153.4583282470703
co26250	6.0	330.0	89.45833587646484	-152.4583282470703
co26262	6.0	342.0	89.45833587646484	-151.4583282470703
co26274	6.0	354.0	89.45833587646484	-150.4583282470703
co26286	6.0	366.0	89.45833587646484	-149.4583282470703
co26298	6.0	378.0	89.45833587646484	-148.4583282470703
co26310	6.0	390.0	89.45833587646484	-147.4583282470703
co26322	6.0	402.0	89.45833587646484	-146.4583282470703
co26334	6.0	414.0	89.45833587646484	-145.4583282470703
co26346	6.0	426.0	89.45833587646484	-144.4583282470703
co26358	6.0	438.0	89.45833587646484	-143.4583282470703
co26370	6.0	450.0	89.45833587646484	-142.4583282470703
co26382	6.0	462.0	89.45833587646484	-141.4583282470703
co26394	6.0	474.0	89.45833587646484	-140.4583282470703
co26406	6.0	486.0	89.45833587646484	-139.4583282470703
co26418	6.0	498.0	89.45833587646484	-138.4583282470703
co26430	6.0	510.0	89.45833587646484	-137.4583282470703
co26442	6.0	522.0	89.45833587646484	-136.4583282470703
co26454	6.0	534.0	89.45833587646484	-135.4583282470703
co26466	6.0	546.0	89.45833587646484	-134.4583282470703
co26478	6.0	558.0	89.45833587646484	-133.4583282470703
co26490	6.0	570.0	89.45833587646484	-132.4583282470703
co26502	6.0	582.0	89.45833587646484	-131.4583282470703
co26514	6.0	594.0	89.45833587646484	-130.4583282470703
co26526	6.0	606.0	89.45833587646484	-129.4583282470703
co26538	6.0	618.0	89.45833587646484	-128.4583282470703
co26550	6.0	630.0	89.45833587646484	-127.45833587646484
co26562	6.0	642.0	89.45833587646484	-126.45833587646484
co26574	6.0	654.0	89.45833587646484	-125.45833587646484
co26586	6.0	666.0	89.45833587646484	-124.45833587646484
co26598	6.0	678.0	89.45833587646484	-123.45833587646484
co26610	6.0	690.0	89.45833587646484	-122.45833587646484
co26622	6.0	702.0	89.45833587646484	-121.45833587646484
co26634	6.0	714.0	89.45833587646484	-120.45833587646484
co26646	6.0	726.0	89.45833587646484	-119.45833587646484
co26658	6.0	738.0	89.45833587646484	-118.45833587646484
co26670	6.0	750.0	89.45833587646484	-117.45833587646484
co26682	6.0	762.0	89.45833587646484	-116.45833587646484
co26694	6.0	774.0	89.45833587646484	-115.45833587646484
co26706	6.0	786.0	89.45833587646484	-114.45833587646484
co26718	6.0	798.0	89.45833587646484	-113.45833587646484
co26730	6.0	810.0	89.45833587646484	-112.45833587646484
co26742	6.0	822.0	89.45833587646484	-111.45833587646484
co26754	6.0	834.0	89.45833587646484	-110.45833587646484
co26766	6.0	846.0	89.45833587646484	-109.45833587646484
co26778	6.0	858.0	89.45833587646484	-108.45833587646484
co26790	6.0	870.0	89.45833587646484	-107.45833587646484
