	CHL_chlor_a	KD490_Kd_490	PIC_pic	POC_poc	PAR_par	FLH_nflh	RRS_Rrs_412	RRS_Rrs_443	RRS_Rrs_469	RRS_Rrs_488	RRS_Rrs_531	RRS_Rrs_547	RRS_Rrs_555	RRS_Rrs_645	RRS_Rrs_667	RRS_Rrs_678	SST	GridLat	GridLong
G0001	0.17508474	0.0392	1.1995435e-05	53.699951	26.9869975	0.044164896499999995	0.0053050015	0.004923001	0.00465400145	0.0040670018	0.0019180011	0.00145900065	0.0012640003	8.900091e-05	9.20016325e-05	0.00011400133500000001	21.057499999999997	43.374996	7.87501
G0002	0.209854185	0.040099999	4.09968195e-05	62.699951500000005	27.956999	0.062865019	0.00367600095	0.00397500025	0.0041200017000000005	0.00368500125	0.0017920006	0.0013650004	0.00118200105	-0.00022999942500000003	-0.00024399907	-0.00021000020000000002	20.48	41.624996	2.7916667
G0003	0.1238659975	0.0324999985	1.3999641e-05	41.899902499999996	27.4009975	0.039957523	0.008005000850000001	0.00721500255	0.00647200075	0.0054020005	0.0022700019	0.00169800035	0.00148699995	0.000143000855	0.00017100014	0.00018100068	22.68	39.874996	12.791667
G0004	0.17125288	0.0386	2.899766e-05	52.899902	29.355997000000002	0.034857512	0.0068440008	0.0063360017	0.005941999999999999	0.0051110015	0.0023919996	0.00181999985	0.00157600085	8.60001875e-05	8.10008485e-05	9.500049e-05	22.2824995	37.458332	15.458339
G0005	0.128946785	0.033100000000000004	1.2997538e-05	42.399902499999996	33.270999	0.0413600205	0.007773001	0.0070250015	0.00638600065	0.0052860005000000005	0.0022299997500000003	0.0016800016	0.0014410019	0.00016800128	0.00015100092	0.0001620017	22.72	36.291664	14.291667
G0006	0.44149135	0.0644	0.000179998577	155.7998025	16.083997500000002	0.07259750400000001	0.0029590018	0.00335999955	0.0038600005000000003	0.0038890019000000003	0.00258500125	0.00215400015	0.0019310023500000001	0.00015900097500000002	0.0001750011	0.000205000865	16.9649995	42.458332	17.958338
G0007	0.2755539	0.052199999	1.5996396500000002e-05	77.0	16.0149975	0.056192518000000004	0.00415100165	0.00409200045	0.0041270013000000005	0.00381700135	0.00216400065	0.001728002	0.00153000095	0.00018700025999999998	0.00019500032	0.00021100044	16.545	42.208332	17.708338
G0008	0.37515560000000003	0.0606999985	1.79968775e-05	99.4997575	16.797999	0.076550005	0.00338200105	0.00335899925	0.0035960003499999997	0.0034380015	0.0021650009	0.0017630011	0.00157900155	0.0001480020575	0.00016900151999999999	0.00020200014000000001	17.3275	39.874996	17.37501
G0009	0.39603620500000003	0.062299999999999994	2.79992815e-05	103.4997575	16.579998	0.0821175575	0.00344300085	0.0034130011	0.00368200055	0.00356000105	0.0022840015500000003	0.0018680003	0.0016710013	0.000179002065	0.0001880005	0.000222001225	17.4124995	39.791664	17.37501
G0010	0.239375645	0.0482	1.3999641e-05	69.5998525	19.276997	0.050540089999999996	0.0042320024000000005	0.0043519996500000005	0.00430500125	0.00391900165	0.0020829998	0.00166300125	0.0014410019	0.00015900098	0.00016500055999999998	0.00018200092	18.8125	39.374996	19.37501
G0011	0.228905085	0.046499999	1.2997538e-05	66.9997575	19.3369985	0.0559375285	0.004212001349999999	0.0042290016	0.0041969995	0.003800001	0.00198600065	0.0015660003	0.0013570003	0.00014499947499999998	0.000158000735	0.00017900206	18.479999999999997	39.208332	19.37501
G0012	0.225904895	0.0458999985	2.3998319999999998e-05	67.29980499999999	20.128998000000003	0.042974949	0.0042990017	0.0045190025	0.0045030005	0.00408400215	0.0021040011	0.00166700035	0.001457002	0.00013600104000000002	0.00014699996	0.00015900098	19.314999999999998	38.458332	20.208338
G0013	0.169477335	0.0377999985	1.3995916e-05	54.199707	21.572998	0.060824989999999995	0.0047610011	0.00471800015	0.0045880005	0.00404800105	0.0018450003	0.0014360007	0.0012580007	0.000137001275	0.00016100146	0.00018400140000000002	19.025	37.541664	17.208338
G0014	0.175901475	0.039399999	1.2997538e-05	56.199951	21.476999499999998	0.058912515	0.0049840006999999995	0.0048830007	0.004761001	0.004183	0.00194900115	0.00152700205	0.0013400018	0.00015800074000000002	0.00017600134	0.00019600055999999998	19.222499499999998	37.541664	17.291666
G0015	0.14649004	0.032099997500000005	1.1995435e-05	44.29980449999999	23.761997	0.0455250735	0.0058170016500000005	0.00547800035	0.0052150003	0.0044110008	0.00183100065	0.0013810005	0.0011870004	7.400103e-05	7.10003085e-05	9.20016325e-05	19.942500000000003	35.791664	14.291667
G0016	0.151710895	0.0339	1.2997538e-05	46.699951	23.6249985	0.0439525845	0.0058650002	0.00548300145	0.005245002	0.004459001	0.00189500115	0.00144900195	0.0012440011	0.00012199952999999999	0.000128000975	0.000143000855	19.9574995	35.708332	14.291667
