	Year	Month	RowInd	ColInd	GridLat	GridLong	eukbank_unique_points	elevation	marine_biome	longhurst_code	longhurst_description	ocean	iho_name	iho_id
G0001	2009	10	559	2254	43.374996	7.87501	['E0936']	-2457	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Mediterranean Sea - Western Basin	28A
G0002	2009	10	580	2193	41.624996	2.7916667	['E0921', 'E0922']	-112	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Balearic (Iberian Sea)	28c
G0003	2009	10	601	2313	39.874996	12.791667	['E0918']	-3603	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Tyrrhenian Sea	28e
G0004	2009	10	630	2345	37.458332	15.458339	['E0900']	-2094	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Ionian Sea	28f
G0005	2009	10	644	2331	36.291664	14.291667	['E0890']	-586	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Mediterranean Sea - Eastern Basin	28B
G0006	2009	11	570	2375	42.458332	17.958338	['E0933', 'E0934']	-446	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Adriatic Sea	28g
G0007	2009	11	573	2372	42.208332	17.708338	['E0930', 'E0931', 'E0932']	-1098	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Adriatic Sea	28g
G0008	2009	11	601	2368	39.874996	17.37501	['E0917']	-1765	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Ionian Sea	28f
G0009	2009	11	602	2368	39.791664	17.37501	['E0915', 'E0916']	-1356	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Ionian Sea	28f
G0010	2009	11	607	2392	39.374996	19.37501	['E0914']	-911	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Ionian Sea	28f
G0011	2009	11	609	2392	39.208332	19.37501	['E0911']	-789	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Ionian Sea	28f
G0012	2009	11	618	2402	38.458332	20.208338	['E0905', 'E0906']	-3030	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Ionian Sea	28f
G0013	2009	11	629	2366	37.541664	17.208338	['E0901']	-2323	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Ionian Sea	28f
G0014	2009	11	629	2367	37.541664	17.291666	['E0902']	-2649	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Ionian Sea	28f
G0015	2009	11	650	2331	35.791664	14.291667	['E0880']	-577	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Mediterranean Sea - Eastern Basin	28B
G0016	2009	11	651	2331	35.708332	14.291667	['E0878', 'E0879']	-856	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Mediterranean Sea - Eastern Basin	28B
G0017	2009	11	666	2338	34.458332	14.8750105	['E0870']	-348	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Mediterranean Sea - Eastern Basin	28B
G0018	2009	11	666	2339	34.458332	14.958339	['E0869']	-296	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Mediterranean Sea - Eastern Basin	28B
G0019	2009	11	667	2340	34.374996	15.041667	['E0868']	-307	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Mediterranean Sea - Eastern Basin	28B
G0020	2009	11	669	2325	34.208332	13.791667	['E0866']	-336	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Mediterranean Sea - Eastern Basin	28B
G0021	2009	11	669	2327	34.208332	13.958339	['E0867']	-338	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Mediterranean Sea - Eastern Basin	28B
G0022	2009	12	672	2554	33.958332	32.87501	['E0859', 'E0860', 'E0861']	-1646	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Mediterranean Sea - Eastern Basin	28B
G0023	2009	9	591	2194	40.708332	2.8750103	['E0920']	-2061	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Balearic (Iberian Sea)	28c
G0024	2009	9	592	2194	40.624996	2.8750103	['E0919']	-2054	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Balearic (Iberian Sea)	28c
G0025	2009	9	610	2229	39.124996	5.7916665	['E0907']	-2881	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Mediterranean Sea - Western Basin	28A
G0026	2009	9	610	2230	39.124996	5.87501	['E0908']	-2852	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Mediterranean Sea - Western Basin	28A
G0027	2009	9	623	2207	38.041664	3.9583385	['E0903', 'E0904']	-2809	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Mediterranean Sea - Western Basin	28A
G0028	2009	9	635	2183	37.041664	1.9583384	['E0897', 'E0898', 'E0899']	-2782	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Mediterranean Sea - Western Basin	28A
G0029	2009	9	641	2081	36.541664	-6.5416617	['E0896']	-59	Coastal	CNRY	Coastal - Canary Coastal Province (EACB)	North Atlantic	North Atlantic Ocean	23
G0030	2009	9	641	2111	36.541664	-4.0416617	['E0895']	-642	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Alboran Sea	28b
G0031	2009	9	641	2112	36.541664	-3.9583333	['E0894']	-690	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Alboran Sea	28b
G0032	2009	9	647	2106	36.041664	-4.4583335	['E0885']	-1262	Westerlies	MEDI	Westerlies - Mediterranean Sea, Black Sea Province	North Atlantic	Alboran Sea	28b
G0033	2010	1	754	2577	27.124998	34.791668	['E0827', 'E0828']	-1111	Coastal	REDS	Coastal - Red Sea, Persian Gulf Province	Indian	Red Sea	37
G0034	2010	1	754	2578	27.124998	34.87501	['E0829']	-965	Coastal	REDS	Coastal - Red Sea, Persian Gulf Province	Indian	Red Sea	37
G0035	2010	1	799	2606	23.374998	37.20834	['E0819', 'E0820']	-1079	Coastal	REDS	Coastal - Red Sea, Persian Gulf Province	Indian	Red Sea	37
G0036	2010	1	814	2618	22.124998	38.20834	['E0809']	-814	Coastal	REDS	Coastal - Red Sea, Persian Gulf Province	Indian	Red Sea	37
G0037	2010	1	816	2619	21.958334	38.291668	['E0808']	-810	Coastal	REDS	Coastal - Red Sea, Persian Gulf Province	Indian	Red Sea	37
G0038	2010	1	858	2638	18.458334	39.87501	['E0801']	-1272	Coastal	REDS	Coastal - Red Sea, Persian Gulf Province	Indian	Red Sea	37
G0039	2010	1	859	2638	18.374998	39.87501	['E0798', 'E0799', 'E0800']	-1490	Coastal	REDS	Coastal - Red Sea, Persian Gulf Province	Indian	Red Sea	37
G0040	2010	10	1184	1944	-8.708339	-17.958334	['E0692']	-3997	Trades	SATL	Trades - South Atlantic Gyral Province (SATG)	South Atlantic	South Atlantic Ocean	32
